Livro,Parte,Capítulo,Item,Subitem,Index,Tipo,Texto
0,0,0,0,1,0,nota,"*Filosofia Espiritualista*
"
0,0,0,0,3,0,nota,"**O LIVRO DOS ESPÍRITOS**
"
0,0,0,0,5,0,nota,"Princípios da Doutrina Espírita sobre a imortalidade da alma, a natureza dos Espíritos e suas relações com os homens, as leis morais, a vida presente, a vida futura e o porvir da humanidade -- segundo os ensinos dados por Espíritos superiores com o concurso de diversos médiuns -- recebidos e coordenados por **Allan Kardec**. 
"
0,0,0,0,7,0,nota,"Título do original francês
"
0,0,0,0,8,0,nota,"*Le livre des esprits*
"
0,0,0,0,9,0,nota,"(Paris, 18 de abril de 1857)
"
0,0,0,0,11,0,nota,"Tradução de Guillon Ribeiro
"
0,0,0,0,13,0,nota,"Copyright (c) 1944 by
"
0,0,0,0,14,0,nota,"Federação Espírita Brasileira (FEB)
"
0,0,0,0,15,0,nota,"ISBN 978-85-7328-728-8
"
0,0,0,0,17,0,nota,"---
"
0,0,1,0,0,0,nota,"Os projetos de **doutrina.org** almejam aperfeiçoar a disseminação da Filosofia e Ciência Espírita tal como codificada por Allan Kardec. Para tal, desenvolvemos uma interface que previne distrações e encoraja o estudo sequencial e metódico. A inclusão de material adicional (figuras, artigos, mapas, videos, audio) auxilia no entendimento e retenção do tópico estudado.
"
0,0,1,0,2,0,nota,"Entretanto, cremos que alguns ressalvos devam ser feitos.
"
0,0,1,0,4,0,nota,"Em primeiro lugar, não exercemos direitos sobre a obra original, suas traduções, ou derivativos que pertencem aos seus respectivos proprietários ou herdeiros.
"
0,0,1,0,6,0,nota,"*O Livro dos Espíritos*
"
0,0,1,0,7,0,nota,"[ISBN 978-85-7328-728-8](https://www.febnet.org.br/wp-content/uploads/2012/07/WEB-Livro-dos-Espíritos-Guillon-1.pdf)
"
0,0,1,0,9,0,nota,"Agradecemos a [Federação Espírita Brasileira](https://www.febnet.org.br/portal/2022/08/10/obras-de-allan-kardec-3/), [Kardecpedia.com](https://kardecpedia.com/roteiro-de-estudos/2/o-livro-dos-espiritos) e [Portal Luz Espírita](https://www.luzespirita.org.br/index.php?lisPage=livro&livroID=1) por oferecerem suas obras livremente em seus respectivos **sites**.
"
0,0,1,0,11,0,nota,"O nome ou logotipo de instituições, grupos, organizações, ou sociedades não constituem aprovação ou endosso. Ademais, estas entidades não são responsáveis pela qualidade de nossos serviços, produtos, ou informações.
"
0,0,1,0,13,0,nota,"Uma ofensa aos direitos autorais não se constitui desde que se limite o uso de acordo com o [Artigo 46, Capítulo IV, Lei Nº 9.610, de 19 de Fevereiro de 1998](http://www.planalto.gov.br/ccivil_03/leis/l9610.htm#:~:text=Art.%2046.%20N%C3%A3o%20constitui%20ofensa%20aos%20direitos%20autorais%3A).
"
0,0,1,0,15,0,nota,"- Art. 41. Os direitos patrimoniais do autor perduram por setenta anos contados de 1° de Janeiro do ano subseqüente ao de seu falecimento, obedecida a ordem sucessória da lei civil.
"
0,0,1,0,17,0,nota,"- Título II, Capítulo I, Art. 7º, § 3º – No domínio das ciências, a proteção recairá sobre a forma literária ou artística, não abrangendo o seu conteúdo científico ou técnico, sem prejuízo dos direitos que protegem os demais campos da propriedade imaterial.
"
0,0,1,0,19,0,nota,"- Título III, Capítulo IV, Art. 46 – Não constitui ofensa aos direitos autorais:
"
0,0,1,0,20,0,nota,"- I – a reprodução
"
0,0,1,0,21,0,nota,"- III – a citação em livros, jornais, revistas ou qualquer outro meio de comunicação, de passagens de qualquer obra, para fins de estudo, crítica ou polêmica, na medida justificada para o fim a atingir, indicando-se o nome do autor e a origem da obra.
"
0,0,1,0,23,0,nota,"Em segundo lugar, tentamos ao máximo manter a integralidade da obra, no entanto, no curso de adaptação do conteúdo para o consumo móvel (**tablets** e celulares) e por claridade/brevidade se achou mais apropriado a mudança do título de alguns capítulos ou sua ordem de apresentação, de modo a obedecer a um padrão de conjunto. Extremo cuidado foi tomado para que somente a forma fosse alterada, e em nenhum modo, o conteúdo do mesmo.
"
0,0,1,0,25,0,nota,"Por último, nossos projetos são sem fins lucrativos. Absolutamente nenhum ganho, compensação, troca, benefício, ou doação é solicitada, oferecida, feita, aceita, ou sub-entendida.
"
0,0,1,0,27,0,nota,"Em caso de erros, por favor, entrem em contato conosco para assegurar que efetuemos a correção.
"
0,0,1,0,29,0,nota,"Deus abençoa sempre.
"
0,0,1,0,31,0,nota,"**Sergio SHKLR**
"
0,0,1,0,33,0,nota,"Doutrina.org 2023 por Sergio SHKLR é licenciada sob [CC BY-NC-SA 4.0](https://creativecommons.org/licenses/by-nc-sa/4.0/deed.pt_BR). 
"
0,0,1,0,35,0,nota,"Nota: A licença acima se aplica somente à diagramação, uso de painéis, cores e tipografia e NÃO ao conteúdo dos livros de Allan Kardec, Wikipédia, Wikicionário, WikiMedia, A Igreja de Jesus Cristo dos Santos dos Últimos Dias, ou quaisquer outras fontes externas. De modo a incentivar o máximo aproveitamento, disseminação e até mesmo a longevidade deste projeto, nos comprometemos a transferir toda a tecnologia desenvolvida para outras indivíduos ou entidades, para que o mesmo seja traduzido em outra línguas. Almejamos até a possível adoção por entidade estabelecidas.
"
0,0,1,0,37,0,nota,"---
"
0,0,2,0,0,0,nota,"---
"
0,0,2,1,1,lde.0.3.01,nota,"Para se designarem coisas novas são precisos termos novos. Assim o exige a clareza da linguagem, para evitar a confusão inerente à variedade de sentidos das mesmas palavras. Os vocábulos **espiritual**, **espiritualista**, **espiritualismo** têm acepção bem definida. Dar-lhes outra, para aplicá-los à Doutrina dos Espíritos, fora multiplicar as causas já numerosas de anfibologia. Com efeito, o espiritualismo é o oposto do materialismo. Quem quer que acredite haver em si alguma coisa mais do que matéria, é espiritualista. Não se segue daí, porém, que creia na existência dos Espíritos ou em suas comunicações com o mundo visível. Em vez das palavras **espiritual**, **espiritualismo**, empregamos, para indicar a crença a que vimos de referir-nos, os termos **espírita** e **espiritismo**, cuja forma lembra a origem e o sentido radical e que, por isso mesmo, apresentam a vantagem de ser perfeitamente inteligíveis, deixando ao vocábulo **espiritualismo** a acepção que lhe é própria. Diremos, pois, que a Doutrina **Espírita** ou o **Espiritismo** tem por princípio as relações do mundo material com os Espíritos ou seres do mundo invisível. Os adeptos do Espiritismo serão os **espíritas**, ou, se quiserem, os **espiritistas**.
"
0,0,2,1,3,lde.0.3.01,nota,"Como especialidade, **O Livro dos Espíritos** contém a Doutrina Espírita; como generalidade, prende-se à doutrina **espiritualista**, uma de cujas fases apresenta. Essa a razão por que traz no cabeçalho do seu título as palavras: **Filosofia espiritualista**.
"
0,0,2,1,5,lde.0.3.01,nota,"---
"
0,0,2,2,1,lde.0.3.02,nota,"Há outra palavra acerca da qual importa igualmente que todos se entendam, por constituir um dos fechos de abóbada de toda doutrina moral e ser objeto de inúmeras controvérsias, à míngua de uma acepção bem determinada. É a palavra **alma**. A divergência de opiniões sobre a natureza da alma provém da aplicação particular que cada um dá a esse termo. Uma língua perfeita, em que cada ideia fosse expressa por um termo próprio, evitaria muitas discussões. Com uma palavra para cada coisa, todos se entenderiam.
"
0,0,2,2,3,lde.0.3.02,nota,"Segundo uns, a alma é o princípio da vida material orgânica. Não tem existência própria e se aniquila com a vida: é o materialismo puro. Neste sentido e por comparação, diz-se de um instrumento rachado, que nenhum som mais emite: não tem alma. De conformidade com essa opinião, a alma seria efeito e não causa
"
